match_id,date,player_team,striker,batting_position,balls_faced,runs_scored,strike_rate,dots,singles,doubles,triples,fours,fives,sixes,dismissal_type,date_match,venue,team1,team2,stage,match_winner,player_of_the_match,margin,record_type,innings,bowler,runs_conceded,wickets_taken,dots_bowled,fours_conceded,sixes_conceded,bowling_team,opposition_team,overs_bowled,economy_rate
202502,2025-03-23,SRH,Nitish Reddy,4.0,15.0,30.0,200.0,3.0,6.0,1.0,0.0,4.0,0.0,1.0,caught,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
202502,2025-03-23,SRH,Klaasen,5.0,14.0,34.0,242.85714285714283,2.0,4.0,2.0,0.0,5.0,0.0,1.0,caught,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
202502,2025-03-23,SRH,Aniket Verma,6.0,3.0,7.0,233.33333333333331,1.0,1.0,0.0,0.0,0.0,0.0,1.0,caught,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
202502,2025-03-23,SRH,Abhinav Manohar,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,caught,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
202502,2025-03-23,SRH,Cummins,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,not out,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
202502,2025-03-23,RR,Jaiswal,1.0,5.0,1.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,caught,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
202502,2025-03-23,RR,Samson,2.0,36.0,65.0,180.5555555555556,13.0,11.0,1.0,0.0,7.0,0.0,4.0,caught,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
202502,2025-03-23,RR,Riyan Parag,3.0,2.0,4.0,200.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,caught,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
202502,2025-03-23,RR,Nitish Rana,4.0,8.0,11.0,137.5,4.0,1.0,1.0,0.0,2.0,0.0,0.0,caught,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
202502,2025-03-23,RR,Dhruv Jurel,5.0,35.0,70.0,200.0,11.0,12.0,1.0,0.0,5.0,0.0,6.0,caught,"March 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,SRH,Ishan Kishan,44 runs,batsman,,,,,,,,,,,
